Source,Target,Type,Weight
1696085,30529776,Undirected,1
1696085,31126905,Undirected,1
1696085,31410253,Undirected,1
1696085,31553879,Undirected,1
1696085,31631000,Undirected,2
1696085,31811773,Undirected,1
1696085,31943350,Undirected,1
1696085,32481910,Undirected,1
1696085,32551479,Undirected,1
1696085,32783904,Undirected,1
1696085,32858557,Undirected,6
1696085,32887979,Undirected,1
1696085,33678523,Undirected,4
1696085,33892534,Undirected,1
1696085,34939858,Undirected,1
1696085,35082309,Undirected,1
1696085,36939850,Undirected,1
1696085,37301072,Undirected,1
1696085,37577482,Undirected,9
1696085,37669328,Undirected,4
1696085,37747652,Undirected,1
1696085,37948865,Undirected,2
1696085,37985209,Undirected,1
1696085,38765920,Undirected,2
1696085,39095481,Undirected,1
1696085,39109324,Undirected,4
1696085,39628659,Undirected,1
1696085,39734851,Undirected,1
1696085,39925815,Undirected,1
1696085,40022924,Undirected,1
1696085,40084473,Undirected,2
1696085,40105609,Undirected,2
1696085,40290532,Undirected,1
1696085,40806187,Undirected,1
1696085,46619093,Undirected,6
1696085,46840528,Undirected,1
1696085,47783130,Undirected,1
1696085,47828117,Undirected,4
1696085,48017344,Undirected,1
1696085,48246204,Undirected,2
1696085,48956018,Undirected,1
1696085,48964637,Undirected,2
1696085,48969613,Undirected,1
1696085,49342533,Undirected,1
1696085,49535307,Undirected,3
1696085,49686609,Undirected,1
1696085,49743640,Undirected,2
1696085,49857577,Undirected,1
1696085,49989997,Undirected,20
1696085,50217885,Undirected,1
1696085,50224531,Undirected,3
1696085,50237288,Undirected,1
1696085,50454693,Undirected,1
1696085,51149713,Undirected,3
1696085,51219725,Undirected,8
1696085,51290127,Undirected,1
1696085,51447186,Undirected,1
1696085,51501289,Undirected,2
1696085,52186541,Undirected,4
1696085,71578349,Undirected,4
1696085,73774928,Undirected,9
1696085,79262652,Undirected,3
1696085,92858908,Undirected,3
1696085,101002420,Undirected,3
1696085,101574025,Undirected,1
1696085,113224035,Undirected,9
1696085,114401442,Undirected,2
1696085,115159482,Undirected,3
1696085,117435761,Undirected,1
1696085,118204571,Undirected,3
1696085,118895835,Undirected,2
1696085,120393937,Undirected,2
1696085,134719484,Undirected,1
1696085,143791184,Undirected,3
1696085,143935918,Undirected,1
1696085,143940914,Undirected,3
1696085,144015229,Undirected,1
1696085,144040368,Undirected,1
1696085,144046178,Undirected,1
1696085,144128370,Undirected,1
1696085,144329285,Undirected,1
1696085,144637670,Undirected,1
1696085,144638930,Undirected,1
1696085,144678073,Undirected,1
1696085,144761754,Undirected,1
1696085,144876692,Undirected,2
1696085,145118700,Undirected,1
1696085,145156173,Undirected,31
1696085,145185457,Undirected,3
1696085,145197953,Undirected,1
1696085,145292735,Undirected,2
1696085,145416365,Undirected,1
1696085,145442114,Undirected,1
1696085,145673422,Undirected,1
1696085,145719137,Undirected,2
1696085,145774803,Undirected,1
1696085,145793888,Undirected,1
1696085,146049920,Undirected,1
1696085,148256728,Undirected,1
1696085,151374236,Undirected,1
1696085,151452727,Undirected,9
1696085,152226299,Undirected,1
1696085,152385340,Undirected,9
1696085,152425748,Undirected,1
1696085,152465861,Undirected,1
1696085,152496378,Undirected,1
1696085,152599370,Undirected,1
1696085,153408572,Undirected,2
1696085,153749974,Undirected,1
1696085,153899114,Undirected,1
1696085,1379496431,Undirected,6
1696085,1388248711,Undirected,1
1696085,1388288687,Undirected,1
1696085,1388526097,Undirected,3
1696085,1389546148,Undirected,1
1696085,1411401737,Undirected,7
1696085,1412553318,Undirected,2
1696085,1443773511,Undirected,1
1696085,1490485975,Undirected,3
1696085,1491176908,Undirected,6
1696085,1504361763,Undirected,1
1696085,1571444185,Undirected,4
1696085,1587818258,Undirected,1
1696085,1587834290,Undirected,1
1696085,1642025176,Undirected,1
1696085,1658919782,Undirected,1
1696085,1716203399,Undirected,1
1696085,1742185866,Undirected,2
1696085,1753387393,Undirected,1
1696085,1781685152,Undirected,1
1696085,1865800402,Undirected,1
1696085,1878783812,Undirected,1
1696085,1904667366,Undirected,1
1696085,2005292398,Undirected,11
1696085,2007532229,Undirected,2
1696085,2007659194,Undirected,1
1696085,2009411983,Undirected,2
1696085,2009435561,Undirected,2
1696085,2053049629,Undirected,1
1696085,2054714982,Undirected,1
1696085,2054716404,Undirected,1
